date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:39	2985/2985	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Nov%202018%2008:31:31%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/2448813screen-shot-2015-07-01-at-9-25-10-pm-jpeg.jpg?v=1488274002577	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/2448813screen-shot-2015-07-01-at-9-25-10-pm-jpega1eb.jpg	(from https://mac-cafe.vn/jcpal-classic-stand)
14:23:39	2064/2064	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Sep%202018%2019:15:33%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/2448849screen-shot-2015-07-01-at-9-24-11-pm-jpeg.jpg?v=1488274003980	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/2448849screen-shot-2015-07-01-at-9-24-11-pm-jpege82c.jpg	(from https://mac-cafe.vn/jcpal-classic-stand)
14:23:39	2087/2087	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Sep%202018%2019:13:14%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/2448982screen-shot-2015-07-01-at-9-24-46-pm-jpeg.jpg?v=1488274005683	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/2448982screen-shot-2015-07-01-at-9-24-46-pm-jpeg5432.jpg	(from https://mac-cafe.vn/jcpal-classic-stand)
14:23:40	2562/2562	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Nov%202018%2008:31:31%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/2449356screen-shot-2015-07-01-at-9-25-15-pm-jpeg.jpg?v=1488274007107	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/2449356screen-shot-2015-07-01-at-9-25-15-pm-jpegb469.jpg	(from https://mac-cafe.vn/jcpal-classic-stand)
14:23:40	0/-1	---M--	302	error ('')			https://mac-cafe.vn/checkout	D:/projects/Demo/mac_cafe/mac-cafe.vn/checkout.1239.delayed	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:40	0/-1	---M--	302	error ('')			https://mac-cafe.vn/checkout	D:/projects/Demo/mac_cafe/mac-cafe.vn/checkout.123a.delayed	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:40	1940/1940	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jul%202018%2006:00:32%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/2449498screen-shot-2015-07-01-at-9-23-48-pm-jpeg.jpg?v=1488274008417	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/2449498screen-shot-2015-07-01-at-9-23-48-pm-jpegf760.jpg	(from https://mac-cafe.vn/jcpal-classic-stand)
14:23:42	11397/11397	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Nov%202018%2012:34:06%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4015937screen-shot-2015-06-22-at-1-30-47-pm-jpeg.jpg?v=1488273807630	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4015937screen-shot-2015-06-22-at-1-30-47-pm-jpeg6f0b.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:43	14566/14566	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Sep%202018%2011:23:09%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4016093screen-shot-2015-06-22-at-1-30-58-pm-jpeg.jpg?v=1488273809023	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4016093screen-shot-2015-06-22-at-1-30-58-pm-jpegbbb5.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:43	13381/13381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Jul%202018%2006:34:51%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4016125screen-shot-2015-06-22-at-1-31-06-pm-jpeg.jpg?v=1488273810790	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4016125screen-shot-2015-06-22-at-1-31-06-pm-jpegc64f.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
